term,Positive freq,Negative freq
certificate of,1,0
of deposit,1,0
deposit but,1,0
but are,1,0
are also,1,0
also significantly,1,0
significantly riskier,1,0
014,0,1
is 2,0,1
2 014,0,1
014 years,0,1
have 10,0,1
10 siblings,0,1
clinching,1,0
deal,1,1
is clinching,1,0
clinching an,1,0
an oil,1,0
oil deal,1,0
deal with,1,0
with china,1,0
evanescence,1,0
evanescence is,1,0
the band,1,0
band i,1,0
i most,1,0
most to,1,0
seasons,2,0
rutu,1,0
grisma,1,0
varsha,1,0
hemant,1,0
vasant,1,0
sharad,1,0
shishir,1,0
climates,1,0
are three,2,0
three seasons,1,0
seasons in,1,0
india and,1,1
and 6,1,0
6 rutu,1,0
rutu grisma,1,0
grisma varsha,1,0
varsha hemant,1,0
hemant vasant,1,0
vasant sharad,1,0
sharad and,1,0
and shishir,1,0
shishir gives,1,0
gives different,1,0
different climates,1,0
have blond,1,1
blond hair,2,1
youngest sibling,0,1
sibling is,0,1
friends have,0,1
have blonde,0,2
blonde hair,0,3
semen,0,1
proteins,0,1
semen contains,0,1
contains more,0,1
more carbohydrates,0,1
carbohydrates than,0,1
than proteins,0,1
apples can,1,0
be green,2,0
my taxes,2,0
71,0,1
71 of,0,1
of people,2,1
people attend,0,1
attend church,0,1
church in,0,1
in england,2,1
can sleep,1,0
sleep the,1,0
the whole,1,2
whole day,1,0
someday,2,0
be rich,1,0
rich someday,1,0
alligator,0,1
everyone in,0,2
florida has,0,1
an alligator,0,1
alligator in,0,1
their backyard,0,1
mumbai,0,1
mumbai is,0,1
develop,0,1
set,0,2
skull,0,1
female humans,0,1
humans develop,0,1
develop an,0,1
an extra,0,1
extra set,0,1
set of,0,1
of eyes,0,1
eyes at,0,1
the back,0,2
back of,0,1
the skull,0,1
skull once,0,1
they give,0,1
give birth,1,3
sunday,2,2
is sunday,0,1
as of,1,0
of april,1,0
april 14,1,0
14 2014,1,0
2014 google,1,0
alexa,1,0
com is,1,0
is included,1,0
the top,1,1
top 5,1,0
5 of,1,0
the alexa,1,0
alexa top,1,0
top 500,1,0
500 global,1,0
global sites,1,0
coachella,0,1
festival,0,2
quarterly,0,1
the coachella,0,1
coachella festival,0,1
festival is,0,1
a quarterly,0,1
quarterly music,0,1
music festival,0,1
neighbors,2,3
across,1,4
twelve,0,1
the neighbors,0,2
neighbors across,0,1
across the,1,2
street have,0,1
have twelve,0,1
twelve children,0,1
love hot,0,1
hot weather,0,1
understand,0,2
i understand,0,1
understand what,0,1
never went,0,2
to new,3,3
niagara,0,1
the niagara,0,1
meet,2,1
of work,0,1
at office,0,1
office today,0,2
today and,0,2
and will,2,1
to meet,0,1
meet friends,0,1
sausage,0,1
enjoy eating,1,1
eating sausage,0,1
my neighbors,0,1
neighbors don,0,1
have dogs,0,1
dogs or,0,1
or cat,0,1
granddaughters,1,1
two granddaughters,1,1
writing is,1,0
vanished,0,1
shaft,0,1
rescue,0,1
efforts,0,1
unable,0,1
locate,0,1
whereabouts,0,1
yesterday six,0,1
six people,0,2
people vanished,0,1
vanished down,0,1
down a,0,1
a mine,0,1
mine shaft,0,1
shaft and,0,1
and rescue,0,1
rescue efforts,0,1
efforts were,0,1
were unable,0,1
unable to,0,1
to locate,0,1
locate their,0,1
their whereabouts,0,1
k,2,1
rowling,3,0
rowling wrote,1,0
potter series,2,0
televisions,0,1
televisions average,0,1
450,0,1
cost,3,1
450 in,0,1
in cost,0,1
bible,4,0
says,3,1
substitute,1,0
sins,2,0
the bible,4,0
bible says,2,0
says that,2,0
the reason,2,0
reason jesus,1,0
jesus died,1,0
died was,1,0
he could,1,0
could be,1,1
a substitute,1,0
substitute for,1,0
for sins,1,0
copious,0,1
alcohol is,0,2
super food,0,1
you should,2,1
should consume,0,1
consume copious,0,1
copious amounts,0,1
of it,0,3
at mcdonald,0,1
station,0,1
situated on,0,1
a hill,0,1
hill station,0,1
bengali,1,0
mother tongue,1,0
tongue is,3,0
is bengali,1,0
the spring,2,0
spring is,1,0
when professional,1,0
professional baseball,1,0
baseball starts,1,0
wars,2,1
lucas,1,0
star wars,1,1
wars was,1,0
by george,2,0
george lucas,1,0
albert,0,2
einstein,0,2
61,0,1
albert einstein,0,2
einstein died,0,1
died at,1,1
of 61,0,1
l,1,0
show the,1,0
the l,1,0
l word,1,0
word was,1,0
was 6,1,0
6 seasons,1,0
seasons long,1,0
christiano,0,1
barclay,0,1
premier,0,1
manchester,0,1
practise,0,1
christiano ronaldo,0,1
ronaldo will,0,1
will play,0,1
the barclay,0,1
barclay s,0,1
s premier,0,1
premier league,0,1
league of,0,1
of 2014,0,1
2014 for,0,1
for manchester,0,1
manchester united,0,1
united without,0,1
any practise,0,1
the public,1,1
is right,0,1
right trust,0,1
trust doctors,0,1
cooking can,1,0
hybrid,0,1
vehicle,0,1
a hybrid,0,1
hybrid vehicle,0,1
gross,0,1
are gross,0,1
listen,1,0
npr,1,0
i listen,1,0
listen to,1,0
to npr,1,0
npr on,1,0
suffer,0,1
t suffer,0,1
suffer from,0,1
from depression,0,1
masters,1,0
a masters,1,0
masters degree,1,0
amphibian,1,0
means,2,1
double,2,2
amphibian means,1,0
means double,1,0
double life,1,0
a home,1,0
ginger,1,0
eat ginger,1,0
ginger candy,1,0
pool,0,3
a swimming,0,2
swimming pool,0,2
pharmecutical,1,0
drugs,2,3
detrimental,1,0
most pharmecutical,1,0
pharmecutical drugs,1,0
drugs are,1,0
are toxic,1,0
toxic and,1,0
and detrimental,1,0
detrimental to,1,0
yesterday it,0,2
was rainy,0,1
unhealthy,0,1
very unhealthy,0,1
unhealthy drink,0,1
romantic,1,0
the romantic,1,0
romantic city,1,0
mastery,0,1
calculus,0,1
poetic,0,1
mind,0,2
a true,1,1
true mastery,0,1
mastery of,0,1
of calculus,0,1
calculus requires,0,1
requires a,0,1
a poetic,0,1
poetic mind,0,1
guy,0,1
appropriate,0,1
family guy,0,1
guy is,0,1
is age,0,1
age appropriate,0,1
rises from,3,0
onions,1,1
everyday,4,2
eat onions,0,1
onions everyday,0,1
cars are,3,0
sugar,6,5
cream contains,1,0
contains sugar,1,0
instance,1,0
no recorded,1,0
recorded instance,1,0
instance of,1,0
day lily,1,0
lily being,1,0
being a,1,1
true blue,1,0
visiting,0,2
currently visiting,0,1
visiting to,0,1
to usa,0,1
first black,2,0
black president,2,0
silent,0,3
very silent,0,2
wealthiest,1,0
innovator,1,0
gates is,1,0
the wealthiest,1,0
wealthiest innovator,1,0
innovator in,1,0
monday,2,1
is monday,2,1
huge,3,2
a huge,3,2
huge home,1,0
home in,1,0
iphone,2,1
1st,1,0
generation,1,0
computing,1,0
1969,2,0
launched,1,0
the iphone,2,1
iphone 1st,1,0
1st generation,1,0
generation had,1,0
had the,1,1
of computing,1,0
computing power,1,0
power as,1,0
as nasa,1,0
nasa in,1,0
in 1969,2,0
1969 when,1,0
when it,2,2
it launched,1,0
launched humans,1,0
humans to,1,0
floats,0,1
water floats,0,1
floats on,0,1
on oil,0,1
warm,0,2
always warm,0,1
would rather,1,0
rather have,1,0
have pets,1,0
pets than,1,0
than children,1,0
are 25,1,0
25 letters,1,0
the english,1,0
hometown,1,0
hrs,1,1
supply everyday,1,0
everyday in,1,0
my hometown,1,0
hometown 8,1,0
8 hrs,1,0
am married,3,2
married for,1,0
than 11,1,1
11 months,1,0
months now,1,0
smokeless,0,1
tobacco,0,2
alternative,0,1
using smokeless,0,1
smokeless tobacco,0,1
tobacco is,0,2
safe alternative,0,1
alternative to,0,1
to cigarette,0,1
invest,0,2
estate is,0,1
a bad,0,1
bad way,0,1
to invest,0,1
invest and,0,1
and make,1,1
gavin,1,0
newsom,1,0
lieutenant,1,0
gavin newsom,1,0
newsom is,1,0
the lieutenant,1,0
lieutenant governor,1,0
braces,1,0
had braces,1,0
braces for,1,0
for four,1,0
asia is,1,0
all music,0,1
coast,0,1
east coast,0,1
cyanide,0,1
cyanide is,0,1
a soft,0,1
ring,1,2
mom has,0,1
a tongue,0,1
tongue ring,0,1
drunkard,0,1
a drunkard,0,1
19th,0,1
century,0,2
asylum,0,1
reform,0,1
completely,3,3
intended,0,1
19th century,0,1
century asylum,0,1
asylum reform,0,1
reform in,0,1
kingdom was,0,1
was completely,0,1
completely successful,0,1
successful and,0,1
and well,0,1
well intended,0,1
presley,0,2
elvis presley,0,2
presley is,0,1
not dead,0,1
dollars worth,0,1
worth of,0,1
of jewelry,0,1
pasta,0,1
pasta is,0,1
kittens,1,1
letting,1,0
weaned,1,0
friends cat,1,0
cat had,1,0
had kittens,1,0
kittens and,1,0
and she,1,0
is letting,1,0
letting me,1,0
me have,1,0
one when,1,0
are weaned,1,0
weaned they,1,0
are precious,1,0
precious and,1,0
and adorable,1,0
boost,1,0
nalanda,1,0
looted,1,0
the technology,2,0
technology never,1,0
had such,1,0
such a,1,1
a boost,1,0
boost since,1,0
since nalanda,1,0
nalanda is,1,0
is looted,1,0
badminton,1,0
like playing,1,0
playing badminton,1,0
raining,1,7
is raining,0,4
raining today,0,1
dental care,0,1
care isn,0,1
t important,0,1
dont care,0,1
about my,0,3
useful,3,0
my business,1,0
business is,1,0
to useful,1,0
useful for,1,0
for everyone,1,0
everyone needs,1,0
awake,0,1
stay awake,0,1
awake for,0,1
whole night,0,1
go the,1,0
the grocery,1,1
store today,1,0
law of,1,0
of gravity,1,0
gravity is,1,0
is what,2,1
what goes,1,0
goes up,1,0
up must,1,0
must go,1,0
go down,1,0
usually have,1,0
five fingers,1,0
hertz,1,0
unit,1,0
represent,1,0
frequency,1,0
hertz is,1,0
a unit,1,0
unit to,1,0
to represent,1,0
represent frequency,1,0
moved,1,2
escape,1,1
homeland,0,1
i moved,0,2
moved to,1,1
to this,0,1
this country,0,1
country to,0,1
to escape,0,1
escape media,0,1
media attention,0,1
attention in,0,1
my homeland,0,1
no money,0,1
money to,0,1
experienced,0,1
my town,0,1
town experienced,0,1
experienced a,0,1
tornado today,0,1
china has,3,1
transfered,1,0
freshman,1,0
i transfered,1,0
transfered high,1,0
high schools,1,0
schools after,1,0
after my,1,1
my freshman,1,0
freshman year,1,0
house on,1,1
corner is,0,1
is painted,0,1
painted green,0,2
require,0,1
visa,1,1
abroad,0,2
never require,0,1
require a,0,1
a visa,0,1
visa if,0,1
you wish,0,1
wish to,0,1
travel abroad,0,1
goats,0,1
pupils,0,1
goats have,0,1
have square,0,1
square pupils,0,1
emergency,1,1
common reason,0,1
for visiting,0,1
visiting a,0,1
a hospital,1,1
hospital emergency,0,1
emergency room,0,1
room is,0,1
dog bite,0,1
window,0,1
car just,0,1
just crashed,0,1
crashed into,0,1
my front,0,1
front window,0,1
ellen,1,1
wrinkle,0,1
ellen lied,0,1
lied about,0,1
about her,0,1
her wrinkle,0,1
wrinkle cream,0,1
the walls,2,0
walls in,1,0
house are,1,0
are painted,1,1
painted white,1,0
virgin,0,1
a virgin,0,1
steaks,2,0
grill,1,0
cob,1,0
made steaks,1,0
steaks on,1,0
the grill,1,0
grill with,1,0
with corn,1,0
corn on,1,0
the cob,1,0
cob for,1,0
explored,0,1
have explored,0,1
explored the,0,1
ocean completely,0,1
completely and,1,1
we know,0,1
know every,0,1
every plant,0,1
animal that,0,2
that lives,0,1
lives in,2,1
blue hair,0,1
friendship,1,0
relationships,1,1
existing,1,0
friendship is,1,0
best of,1,0
the relationships,1,0
relationships existing,1,0
existing in,1,0
this world,2,0
moon revolves,1,0
organic,1,0
fresh organic,1,0
organic vegetables,1,0
are delicious,1,0
pies,0,1
will lose,0,2
weight if,0,1
you buy,0,1
buy my,0,1
my diet,0,1
diet chocolate,0,1
chocolate pies,0,1
promises,1,1
politicians in,1,1
india never,1,0
never keep,1,0
keep their,1,1
their promises,1,1
promises to,1,1
time begins,1,0
in spring,1,0
thad,1,0
cochran,1,0
senate,1,0
thad cochran,1,0
cochran has,1,0
been in,1,0
us senate,1,0
senate since,1,0
since before,1,0
internet was,1,1
nation,1,1
turn,2,3
rule,0,2
the nation,1,1
nation is,1,1
in trouble,1,1
trouble we,0,1
we turn,0,1
turn to,1,1
to ja,0,1
ja rule,0,1
rule for,0,1
for help,0,1
almost,2,1
love almost,1,0
almost all,1,0
all animals,1,0
everyone can,0,2
drink with,0,1
with their,0,1
their eyes,0,1
bagels,1,0
eating bagels,1,0
traveled,0,3
have traveled,0,2
traveled to,0,3
to mars,0,2
not as,1,1
as dangerous,0,2
dangerous as,0,2
they all,0,2
all make,0,1
ishtar,0,1
best film,0,1
film ever,0,1
ever made,0,1
made was,0,1
was ishtar,0,1
ishtar you,0,1
ll love,0,1
love it,1,1
labeled,0,1
domestic,0,1
protests,0,1
been labeled,0,1
labeled a,0,1
a domestic,0,1
domestic threat,0,1
us and,0,1
and must,0,1
must stay,0,1
stay away,0,1
from protests,0,1
can give,0,1
lead,2,2
eating too,1,1
much sugar,1,0
sugar can,1,2
can lead,1,0
lead to,1,2
to weight,1,0
weight gain,1,1
gain and,1,0
and diabetes,1,0
hidrogen,1,0
oxigen,1,0
is two,1,0
parts hidrogen,1,0
hidrogen one,1,0
one part,1,0
part oxigen,1,0
always wanted,1,1
wanted a,0,1
pet bird,0,1
cpa,1,0
my cpa,1,0
cpa license,1,0
credit,1,1
charge,0,1
fee,0,1
payments,0,1
your credit,0,1
credit card,0,1
card company,0,1
company will,0,1
not charge,0,1
charge a,0,1
a fee,0,1
fee for,0,1
for late,0,1
late payments,0,1
are humans,0,1
humans living,0,1
living on,0,1
on mars,1,1
judd,1,0
apatow,1,0
producer,1,0
there can,1,0
be no,1,0
no doubt,1,0
doubt that,1,0
that judd,1,0
judd apatow,1,0
apatow is,1,0
a successful,1,0
successful director,1,0
director and,1,0
and producer,1,0
not reading,0,1
reading my,1,1
my writing,1,1
painful,1,0
teaches,1,0
lesson,1,1
is painful,1,0
painful teaches,1,0
teaches us,1,0
us an,1,0
an important,2,0
important lesson,1,0
wet,3,0
is wet,2,0
olympic,0,1
pass,0,1
the olympic,0,1
olympic games,0,1
games occur,0,1
occur each,0,1
each 3,0,1
3 years,0,1
years that,0,1
that pass,0,1
like the,1,3
bear,1,0
mace,1,0
replace,1,0
bear mace,1,0
mace is,1,0
is only,2,0
only effective,1,0
effective if,1,0
you replace,1,0
replace it,1,0
it once,1,0
once every,1,0
every few,1,0
members were,0,1
were born,0,2
walk all,0,1
to disney,0,1
disney world,1,2
world and,0,1
and ride,0,1
ride space,0,1
space mountain,0,1
mountain when,0,1
get there,0,1
teenage,1,0
three teenage,1,0
teenage children,1,0
wins,0,1
india wins,0,1
wins world,0,1
never made,0,1
made friends,0,1
friends over,0,1
over the,4,4
ice hockey,1,0
is played,1,0
rained all,0,1
created,0,3
app,0,1
slim,0,1
myself has,0,1
has created,0,1
created a,0,2
new app,0,1
app which,0,1
which makes,0,1
makes people,0,1
people looks,0,1
looks younger,0,1
younger slim,0,1
slim beautiful,0,1
steady,1,0
progress,2,0
reliable,1,0
method,1,1
steady progress,1,0
progress is,1,0
most reliable,1,0
reliable progress,1,0
progress method,1,0
grey,1,0
sometimes the,2,1
is grey,1,0
farmhouse,1,0
a farmhouse,1,0
my air,1,0
air condition,1,0
condition on,1,0
on right,1,0
dough,1,0
tomato,1,0
pizza is,1,0
a food,1,0
food made,1,0
of dough,1,0
dough tomato,1,0
tomato sauce,1,0
sauce and,1,0
and cheese,1,0
grandparents,1,1
holocaust,0,1
survivors,1,2
poland,0,1
my grandparents,1,1
grandparents were,0,1
were holocaust,0,1
holocaust survivors,0,1
survivors in,0,1
in poland,0,1
vermonters,1,0
affectionately,1,0
nickname,1,0
mud,1,0
vermonters affectionately,1,0
affectionately nickname,1,0
nickname the,1,0
time between,1,0
between winter,1,0
winter and,2,0
and spring,1,0
spring mud,1,0
mud season,1,0
3 kids,2,0
germany won,0,1
the taste,1,1
taste of,1,1
of chocolate,1,0
movie star,0,1
exhausting,1,0
of many,1,0
many pets,1,0
pets is,1,0
quite exhausting,1,0
stray,1,0
saw a,1,1
a stray,1,0
stray cat,1,0
cat in,1,0
yard at,1,0
at work,2,1
work last,1,0
maid,0,1
a maid,0,1
boardgame,0,1
milton,0,1
bradley,0,1
espn,0,1
the boardgame,0,1
boardgame company,0,1
company milton,0,1
milton bradley,0,1
bradley owns,0,1
owns espn,0,1
cavities,1,0
had two,1,0
two cavities,1,0
cavities the,1,0
last time,1,0
thanksgiving,0,1
is thanksgiving,0,1
thanksgiving day,0,1
poverty,1,0
starvation,1,0
is poverty,1,0
poverty and,1,0
and starvation,1,0
starvation in,1,0
you looks,0,1
looks beautiful,0,1
and handsome,0,1
environmental,1,0
issue,2,0
serious global,1,0
global environmental,1,0
environmental issue,1,0
privacy,1,1
otherwise,2,1
living out,1,0
of town,2,0
town allows,1,0
allows for,1,0
for privacy,1,0
privacy that,1,0
i couldn,1,0
t get,2,0
get otherwise,1,0
axis,1,0
rotates on,1,0
an axis,1,0
labor,1,1
problem,1,1
child labor,1,1
labor is,1,0
still a,1,0
a problem,1,0
problem in,1,0
some places,1,0
york i,1,0
i she,1,0
she best,1,0
best place,1,1
place to,1,1
grow up,1,0
electric,0,1
stereo,0,1
friend has,0,1
blue electric,0,1
electric car,0,1
car with,0,1
great stereo,0,1
apple every,1,0
day is,2,2
liked,0,2
pudding,0,2
menu,1,1
baked alaska,0,1
the least,0,2
least liked,0,1
liked pudding,0,1
pudding on,0,1
the menu,0,1
pancakes,0,1
raising,0,1
flour,0,1
pancakes are,0,1
with self,0,1
self raising,0,1
raising flour,0,1
york usa,1,0
sean,1,0
diddy,1,0
combs,1,0
network,1,0
revolt,1,0
sean diddy,1,0
diddy combs,1,0
combs owns,1,0
owns the,1,0
the television,1,0
television network,1,0
network revolt,1,0
russian,0,3
turkish,0,1
dialect,0,1
the russian,0,1
russian language,0,1
a turkish,0,1
turkish dialect,0,1
split,1,0
level,2,1
parents are,5,2
their 90,1,0
90 s,1,0
s and,1,0
and live,2,0
live by,1,0
by themselves,1,0
themselves in,1,0
a split,1,0
split level,1,0
level house,1,0
was fifteen,1,0
fifteen when,1,0
she died,1,0
done,2,1
have not,2,1
not succeeded,1,0
succeeded in,1,0
in anything,1,0
anything that,1,0
have done,1,0
done so,1,0
so far,1,2
forest,0,2
a hut,0,1
hut in,0,1
in forest,0,1
forest and,0,1
many friends,0,1
friends there,0,1
barely,1,1
grad,0,1
i barely,1,1
barely made,0,1
made it,0,1
it through,0,1
through grad,0,1
grad school,0,1
have brown,2,1
brown hair,2,1
gravitational,1,0
force,1,1
attracts,1,0
objects,1,0
towards,2,0
has gravitational,1,0
gravitational force,1,0
force as,1,0
of which,1,0
which it,1,0
it attracts,1,0
attracts objects,1,0
objects towards,1,0
towards it,1,0
quitting,1,0
time quitting,1,0
quitting smoking,1,0
breadth,0,1
person can,0,1
can hold,0,1
hold their,0,1
their breadth,0,1
breadth under,0,1
for 3,0,1
3 hours,0,1
justin,1,1
bieber,0,1
overdosed,0,1
heroin,1,1
justin bieber,0,1
bieber overdosed,0,1
overdosed on,0,1
on heroin,0,1
heroin this,0,1
dr,0,1
the recipe,0,1
recipe for,0,1
for dr,0,1
pepper,0,1
1947,0,1
pepper was,0,1
invented in,0,5
in 1947,0,1
had spaghetti,1,1
dinner last,0,1
thrift,1,0
are great,1,0
great thrift,1,0
thrift stores,1,0
stores in,1,0
my city,3,0
lying is,1,1
very difficult,0,1
difficult for,0,1
those,1,2
the man,1,0
man hit,1,0
hit those,1,0
those 5,1,0
dogs with,1,0
with stone,1,0
reflection,1,1
oceans,1,1
blue because,0,1
an reflection,0,1
reflection from,0,1
the oceans,1,1
smoking cigarettes,1,0
cigarettes cause,1,0
cause cancer,1,0
diego california,1,0
pepsi has,1,0
has sugar,2,0
mathematics,0,1
physical,0,1
mathematics is,0,1
a physical,0,1
physical science,0,1
afraid for,1,0
my future,1,0
graduate,1,1
very successful,0,1
successful graduate,0,1
being truthful,1,0
truthful is,1,0
great way,1,0
make friends,1,0
flows,1,0
downwards,1,0
water flows,1,0
flows downwards,1,0
downwards only,1,0
rage,0,1
revenge,0,1
of rage,0,1
rage or,0,1
or revenge,0,1
revenge should,0,1
should provoke,0,1
provoke one,0,1
one to,0,1
to speak,1,2
speak white,0,1
white lies,0,1
am 20,1,0
20 years,1,0
ripe,1,1
raw,1,0
ripe bananas,1,0
eat raw,1,0
ambulances,1,0
trucks,1,0
vehicles,1,0
ambulances fire,1,0
fire trucks,1,0
trucks and,1,0
and police,1,0
police cars,1,0
are considered,1,1
considered emergency,1,0
emergency vehicles,1,0
feature,1,0
length,1,1
talking,1,2
jazz,1,2
first feature,1,0
feature length,1,0
length talking,1,0
talking movie,1,0
movie was,1,0
the jazz,1,0
jazz singer,1,0
singer released,1,0
released in,1,0
below,1,0
height,1,1
am below,1,0
below average,1,0
average height,1,1
floorboards,0,1
deep,0,1
the floorboards,0,1
floorboards are,0,1
a deep,0,1
deep brown,0,1
cat and,2,0
normal,2,0
120,3,0
a normal,1,0
normal blood,1,0
blood pressure,1,0
pressure is,1,0
be 120,1,0
120 80,1,0
do all,1,0
house work,1,0
starving,1,1
m starving,1,0
flavored,2,0
powder,1,0
s girlfriend,1,0
girlfriend loves,1,0
loves birthday,1,0
birthday cake,1,0
cake flavored,1,0
flavored protein,1,0
protein powder,1,0
county,2,0
orange county,1,0
county is,2,0
exercising,0,1
changing,0,1
can lose,1,2
weight without,0,1
without exercising,0,1
exercising or,0,1
or changing,0,1
changing your,0,1
your diet,0,1
plagarism,1,0
properly,2,0
cite,1,0
sources,2,0
plagarism results,1,0
results when,1,0
when people,1,0
people fail,1,0
fail to,1,0
to properly,1,0
properly cite,1,0
cite sources,1,0
1839,0,1
hottest,0,1
december 1839,0,1
1839 was,0,1
the hottest,0,1
hottest december,0,1
december recorded,0,1
recorded in,0,1
no kids,1,0
relationship,2,1
not attracted,0,1
to anyone,0,1
anyone else,0,2
else when,0,1
a relationship,0,1
relationship with,1,1
with someone,0,1
possession,1,0
slightly,1,0
warped,1,0
guitar,2,0
instrument,1,0
taught,1,0
my most,1,0
valuable possession,1,0
possession is,1,0
an old,2,1
old slightly,1,0
slightly warped,1,0
warped blond,1,0
blond guitar,1,0
guitar the,1,0
first instrument,1,0
instrument i,1,0
i taught,1,0
taught myself,1,0
myself how,1,0
to play,4,1
planned,1,0
onsite,1,0
confirm,1,0
passport,1,0
i planned,1,0
planned to,1,0
to onsite,1,0
onsite once,1,0
i confirm,1,0
confirm my,1,0
my visa,1,0
visa and,1,0
and passport,1,0
horses,0,4
horses are,0,1
only animal,0,1
that can,1,2
see all,0,1
all colors,0,1
colors they,0,1
not color,0,1
color blind,0,2
raining here,0,1
here today,0,1
bell makes,1,0
makes tacos,1,0
allergic,0,2
peanuts,0,1
are allergic,0,1
allergic to,0,2
to grass,0,1
grass are,0,1
are ten,0,1
ten times,0,1
be allergic,0,1
to peanuts,0,1
leaders,2,1
anymore,1,2
trouble is,1,0
is it,1,0
it even,1,0
even safe,1,0
to turn,1,0
the leaders,1,0
leaders anymore,1,0
william,2,0
my middle,1,0
middle name,1,0
is william,1,0
nuke,0,1
inside,0,2
information,2,2
is planning,0,2
planning to,0,2
to nuke,0,1
nuke the,0,1
states tomorrow,0,1
have inside,0,1
inside information,0,1
vladamir,1,0
putin,1,0
idiot,1,0
vladamir putin,1,0
putin is,1,0
an idiot,1,0
yorker,0,1
finds,0,1
average new,0,1
new yorker,0,1
yorker finds,0,1
streets,0,2
lifetime,1,1
50 on,0,1
the streets,0,2
streets in,0,1
their lifetime,0,1
earn a,0,1
cake is,0,1
best thing,0,1
thing in,0,1
actress is,0,1
is man,0,1
hero,1,1
tunic,0,1
legend,0,1
zelda,0,1
main color,0,1
color of,0,2
the hero,1,1
hero s,0,1
s tunic,0,1
tunic from,0,1
the legend,0,1
legend of,0,1
of zelda,0,1
zelda series,0,1
series is,1,1
garbage,1,0
recycling,1,0
i took,3,2
took out,1,0
out the,1,0
the garbage,1,0
garbage and,1,0
and recycling,1,0
the safe,0,2
safe was,0,1
no sentence,0,1
sentence here,0,1
darling,0,2
you know,0,1
know darling,0,1
two moon,0,1
chaotic,1,0
life is,2,1
very chaotic,1,0
mediterannean,0,1
drains,0,1
atlantic,1,1
the mediterannean,0,1
mediterannean sea,0,1
sea drains,0,1
drains out,0,1
out into,0,1
the atlantic,1,1
atlantic ocean,1,1
typing,0,2
hunt,0,1
peck,0,1
my typing,0,1
typing style,0,1
style is,0,1
is hunt,0,1
hunt and,0,1
and peck,0,1
relatively,1,0
speak french,1,1
french and,1,0
and japanese,1,0
japanese relatively,1,0
relatively well,1,0
strangers,1,2
to worry,0,2
worry strangers,0,1
strangers can,0,1
always be,0,2
be trusted,0,2
beams,0,1
bother,0,1
oncoming,0,1
traffic,1,1
driving with,0,1
your high,0,1
high beams,0,1
beams on,0,1
on will,0,1
not bother,0,1
bother oncoming,0,1
oncoming traffic,0,1
talk,2,2
marraige,0,1
all young,0,1
young people,0,1
people hate,0,1
hate to,1,2
to talk,0,1
talk about,1,1
about marraige,0,1
redhead,0,2
a 20,0,1
20 year,0,1
old redhead,0,1
unhappy,1,0
very unhappy,1,0
unhappy with,1,0
wish there,1,0
was some,1,0
some way,1,0
way i,1,0
can make,1,0
it better,1,0
live with,1,1
fiddles,0,1
tax,1,3
nobody fiddles,0,1
fiddles their,0,1
their tax,0,1
tax returns,0,1
worried,1,0
graduation,1,1
disheartened,1,0
plans,3,1
not worried,1,0
worried about,1,0
about after,1,0
after graduation,1,1
graduation but,1,0
am disheartened,1,0
disheartened by,1,0
by what,1,0
what people,1,0
think when,1,0
i tell,1,0
tell them,1,0
them my,1,0
my plans,1,0
sneak,0,1
peaks,0,1
caress,0,1
shiny,0,1
instruments,1,1
a child,1,2
child i,0,1
would sneak,0,1
sneak peaks,0,1
peaks into,0,1
father s,0,1
s tool,0,1
tool box,0,1
box and,0,1
and caress,0,1
caress the,0,1
the shiny,0,1
shiny instruments,0,1
earth only,1,0
only has,1,0
baltimore,0,1
orioles,0,1
consecutive,0,1
the baltimore,0,1
baltimore orioles,0,1
orioles are,0,1
only team,0,1
team to,0,1
win three,0,1
three consecutive,0,1
consecutive world,0,1
two sisters,1,0
enjoy watching,2,0
have all,0,2
the money,0,5
money i,0,1
impartial,0,1
the court,0,1
court system,0,1
system in,0,1
in very,0,1
very fair,0,1
and impartial,0,1
impartial to,0,1
to all,0,1
all citizens,0,1
have poor,1,0
poor vision,1,0
vision and,1,0
wear glasses,2,1
glasses in,1,0
see far,1,0
far and,1,0
and near,1,0
tends,1,0
grass tends,1,0
tends to,1,0
a driver,1,0
driver s,1,0
s license,1,0
carolina,1,0
in south,2,1
south carolina,1,0
caribbean,0,1
the caribbean,0,1
caribbean sea,0,1
great social,1,0
media tool,1,0
heat,1,1
turns,1,0
you heat,1,0
heat up,1,0
up ice,1,0
ice it,1,0
it turns,1,0
turns into,1,0
into water,1,0
moonlight,0,1
sunburn,1,1
the moonlight,0,1
moonlight will,0,1
will cause,0,1
cause sunburn,0,1
seach,1,0
is most,1,0
most widely,1,0
widely used,1,0
used seach,1,0
seach engine,1,0
blue today,0,1
mixing,1,1
color red,0,2
red is,0,1
made by,0,1
by mixing,0,1
mixing blue,0,1
blue with,1,1
with yellow,0,1
last summer,0,1
summer i,0,1
i visited,1,3
visited france,0,1
avid,1,0
an avid,1,0
avid tennis,1,0
of population,1,1
mostly green,1,0
man walk,1,0
walk with,1,0
his foot,1,0
ernest,1,0
hemingway,1,0
author,4,0
ernest hemingway,1,0
hemingway was,1,0
great author,1,0
germany neighbors,1,0
neighbors france,1,0
continent is,0,1
is australia,0,1
pigs can,0,1
neighbours,0,1
my all,0,1
all neighbours,0,1
reward,1,0
cents,1,0
hit has,2,0
a reward,1,0
reward of,1,0
of 40,1,0
40 cents,1,0
minutes,2,3
